filename,label,category_id,bbox,image_id,location,split_type,date_captured
585f4d43-23d2-11e8-a6a3-ec086b02610b_0.jpg,cat,16,"[1200.64, 568.32, 146.7734375, 246.613359375]",585f4d43-23d2-11e8-a6a3-ec086b02610b,100,val,2010-05-25 20:32:56
59180801-23d2-11e8-a6a3-ec086b02610b_0.jpg,cat,16,"[999.253359375, 404.48, 129.706640625, 218.453359375]",59180801-23d2-11e8-a6a3-ec086b02610b,100,val,2010-05-25 20:32:57
588dba7d-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[1213.44, 637.44, 212.48, 271.36]",588dba7d-23d2-11e8-a6a3-ec086b02610b,100,val,2010-05-25 22:35:28
58bea7d7-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[1062.4, 808.96, 279.04, 238.08]",58bea7d7-23d2-11e8-a6a3-ec086b02610b,100,val,2010-05-25 22:35:29
58a8a344-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[870.4, 960.0, 261.12, 337.92]",58a8a344-23d2-11e8-a6a3-ec086b02610b,100,val,2010-05-25 22:35:30
59421235-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[988.16, 844.8, 253.44, 314.88]",59421235-23d2-11e8-a6a3-ec086b02610b,100,val,2010-05-25 22:35:30
58995b19-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[765.44, 1039.36, 281.6, 355.84]",58995b19-23d2-11e8-a6a3-ec086b02610b,100,val,2010-05-25 22:35:31
59439e1e-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[645.12, 1020.16, 450.56, 268.8]",59439e1e-23d2-11e8-a6a3-ec086b02610b,100,val,2010-05-25 23:00:33
5948447f-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[1044.48, 762.88, 235.52, 245.76]",5948447f-23d2-11e8-a6a3-ec086b02610b,100,val,2010-05-25 23:00:34
59328b0f-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[968.96, 881.92, 181.76, 262.4]",59328b0f-23d2-11e8-a6a3-ec086b02610b,100,val,2010-05-25 23:00:34
58c66537-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[1152.0, 673.28, 202.24, 199.68]",58c66537-23d2-11e8-a6a3-ec086b02610b,100,val,2010-05-25 23:00:35
589e6681-23d2-11e8-a6a3-ec086b02610b_0.jpg,opossum,1,"[1253.76, 632.32, 133.76, 179.84]",589e6681-23d2-11e8-a6a3-ec086b02610b,100,val,2010-05-25 23:00:36
